index,step,timestamp,version,cpu_user,cpu_system,cpu_user_system,cpu_idle,cpu_iowait,memory_ram,memory_swap,memory_ram_swap,disk_read_count,disk_write_count,disk_read_bytes,disk_write_bytes,disk_read_time,disk_write_time,disk_busy_time,network_received_count,network_sent_count,network_received_bytes,network_sent_bytes,network_received_error,network_sent_error,network_received_drop,network_sent_drop
1,1,0.0,2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0.1023,2,0.0,0.0,0.0,0.82,0.0,4787556352,6291456,4793847808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,0.2094,2,0.05,0.05,0.1,1.55,0.0,4788326400,6291456,4794617856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,0.3158,2,0.1,0.11,0.21000000000000002,2.28,0.0,4788588544,6291456,4794880000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,0.4185,2,0.11,0.13,0.24,3.07,0.0,4788588544,6291456,4794880000,0,0,0,0,0,0,0,5,1,2425,90,0,0,0,0
6,1,0.5241,2,0.12,0.13,0.25,3.89,0.0,4788588544,6291456,4794880000,0,0,0,0,0,0,0,5,1,2425,90,0,0,0,0
7,1,0.6301,2,0.13,0.14,0.27,4.71,0.0,4788588544,6291456,4794880000,0,0,0,0,0,0,0,6,2,3483,160,0,0,0,0
8,1,0.7357,2,0.16,0.15,0.31,5.51,0.01,4788584448,6291456,4794875904,2,0,8192,0,14,0,16,12,11,7974,1526,0,0,0,0
9,1,0.8437,2,0.19,0.16,0.35,6.31,0.01,4788584448,6291456,4794875904,2,0,8192,0,14,0,16,15,17,8295,5794,0,0,0,0
10,1,0.9457,2,0.22,0.17,0.39,7.09,0.01,4788584448,6291456,4794875904,2,0,8192,0,14,0,16,16,17,8385,5794,0,0,0,0
11,1,1.0513,2,0.22,0.17,0.39,7.93,0.01,4788584448,6291456,4794875904,2,0,8192,0,14,0,16,16,17,8385,5794,0,0,0,0
12,1,1.1565,2,0.23,0.17,0.4,8.76,0.01,4788584448,6291456,4794875904,2,0,8192,0,14,0,16,21,19,10810,5974,0,0,0,0
13,1,1.2627,2,0.27,0.18,0.45,9.53,0.01,4790448128,6291456,4796739584,2,0,8192,0,14,0,16,41,40,17502,16216,0,0,0,0
14,1,1.368,2,0.34,0.27,0.6100000000000001,10.21,0.01,4790517760,6291456,4796809216,2,0,8192,0,14,0,16,48,51,18318,18062,0,0,0,0
15,1,1.47,2,0.4,0.33,0.73,10.9,0.01,4791255040,6291456,4797546496,2,0,8192,0,14,0,16,56,60,23101,22615,0,0,0,0
16,1,1.573,2,0.44,0.34,0.78,11.67,0.01,4791320576,6291456,4797612032,2,0,8192,0,14,0,16,61,62,25281,22815,0,0,0,0
17,1,1.6785,2,0.46,0.34,0.8,12.49,0.01,4791320576,6291456,4797612032,2,0,8192,0,14,0,16,61,62,25281,22815,0,0,0,0
